venue_id,venue_name,team,lat,lon,ballpark_elevation_m,elevation_source,weather_station_id,station_elevation_m,station_source,roof_type,home_plate_bearing_deg,orientation_confidence,orientation_status,orientation_source,orientation_notes
,Minute Maid Park,Houston Astros,29.7572321,-95.3552344,37.0,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KHOU,14,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,RETRACTABLE,344.76,0.95,corrected,ground_truth_manual,CORRECTED: 180° flip; HP→CF ~344.76° NNW; verified
,Kauffman Stadium,Kansas City Royals,39.0515081,-94.4804598,275.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KMKC,231,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,21.62,0.95,corrected,ground_truth_manual,CORRECTED: 180° flip; HP→CF ~21.62° NNE; verified
,Angel Stadium,Los Angeles Angels,33.8002599,-117.8817426,49.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KSNA,17,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,118.67,0.95,ok,stadium,raw_angle=118.67; distance_m=89.1; aspect_ratio=1.37; score=5.214; tags_sport=baseball; status=ok
,Dodger Stadium,Los Angeles Dodgers,34.0736255,-118.2398452,167.0,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KBUR,237,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,22.0,0.9,corrected,ground_truth_manual,CORRECTED: ~83° algorithm offset; HP→CF ~22° NNE; shadedseats confirmed; grandstand transverse axis captured
,loanDepot park,Miami Marlins,25.7780733,-80.219554,12.0,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KMIA,3,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,RETRACTABLE,135.0,0.85,manual,ground_truth_manual,"GROUND TRUTH PASS: shadedseats.com: ""loanDepot park is oriented to the southeast""; home plate faces NW, CF faces SE | prior_status=failed, prior_deg=nan"
,American Family Field,Milwaukee Brewers,43.028631,-87.9731585,192.0,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KMKE,220,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,RETRACTABLE,132.39,0.95,ok,pitch,raw_angle=132.39; distance_m=181.1; aspect_ratio=1.45; score=4.769; tags_sport=baseball; status=ok
,Target Field,Minnesota Twins,44.9816845,-93.2778643,250.0,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KMSP,256,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,90.0,0.85,manual,ground_truth_manual,"GROUND TRUTH PASS: shadedseats.com: ""Target Field is oriented to the east""; home plate faces west, CF faces east | prior_status=failed, prior_deg=nan"
,Citi Field,New York Mets,40.7572778,-73.8458788,2.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KLGA,7,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,358.41,0.95,corrected,ground_truth_manual,CORRECTED: 180° flip; HP→CF ~358.41° N; verified
,Yankee Stadium,New York Yankees,40.8295828,-73.9265212,10.0,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KLGA,7,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,64.02,1.0,ok,pitch,raw_angle=64.02; distance_m=22.1; aspect_ratio=1.37; score=6.372; tags_sport=baseball; status=ok
,Sutter Health Park,Oakland Athletics,38.5803717,-121.5134097,9.001,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KSAC,7,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,27.46,0.9,corrected,ground_truth_manual,CORRECTED: 180° flip; HP→CF ~27.46° NNE; Sutter Health Park current MLB home (Las Vegas park under construction)
,Citizens Bank Park,Philadelphia Phillies,39.9059221,-75.1664804,3.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KPHL,11,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,142.67,1.0,ok,pitch,raw_angle=142.67; distance_m=18.6; aspect_ratio=1.30; score=6.304; tags_sport=baseball; status=ok
,PNC Park,Pittsburgh Pirates,40.4469258,-80.0056063,218.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KAGC,382,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,104.58,1.0,ok,pitch,raw_angle=104.58; distance_m=12.8; aspect_ratio=1.43; score=6.425; tags_sport=baseball; status=ok
,Petco Park,San Diego Padres,32.7071874,-117.156913,3.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KSAN,5,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,7.87,0.95,corrected,ground_truth_manual,CORRECTED: 180° flip; HP→CF ~7.87° N; verified
,Oracle Park,San Francisco Giants,37.7786059,-122.3894716,4.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KSFO,4,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,73.46,1.0,ok,pitch,raw_angle=73.46; distance_m=30.6; aspect_ratio=1.26; score=6.262; tags_sport=baseball; status=ok
,T-Mobile Park,Seattle Mariners,47.5913974,-122.332507,14.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KBFI,7,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,RETRACTABLE,45.0,0.85,manual,ground_truth_manual,"GROUND TRUTH PASS: shadedseats.com: ""T-Mobile Park is oriented to the northeast""; home plate faces SW, CF faces NE | prior_status=failed, prior_deg=nan"
,Busch Stadium,St. Louis Cardinals,38.6225054,-90.1930037,134.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KSTL,185,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,149.45,1.0,ok,stadium,raw_angle=149.45; distance_m=2.8; aspect_ratio=1.21; score=5.211; tags_sport=baseball; status=ok
,Tropicana Field,Tampa Bay Rays,27.7680559,-82.6532755,35.0,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KSPG,3,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,FIXED_ENCLOSED,109.13,1.0,ok,stadium,raw_angle=109.13; distance_m=11.7; aspect_ratio=1.18; score=5.176; tags_sport=baseball; status=ok
,Globe Life Field,Texas Rangers,32.747642,-97.0841049,177.0,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KGPM,191,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,RETRACTABLE,102.84,1.0,ok,stadium,raw_angle=102.84; distance_m=21.6; aspect_ratio=1.88; score=5.884; tags_sport=baseball; status=ok
,Rogers Centre,Toronto Blue Jays,43.6416599,-79.3891976,91.001,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,CYKZ,173,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,RETRACTABLE,85.75,1.0,ok,pitch,raw_angle=85.75; distance_m=12.0; aspect_ratio=1.71; score=6.707; tags_sport=baseball; status=ok
,Nationals Park,Washington Nationals,38.8727332,-77.0074815,4.999,US_SPORTS_VENUES_MASTER_CORRECTED_V2.xlsx | ALL_VENUES | feet converted to metres,KDCA,6,INITIAL_NEARBY_ASOS_MAPPING | requires direct operational validation | B maximum,OUTDOOR,16.26,0.95,corrected,ground_truth_manual,CORRECTED: 180° flip; HP→CF ~16.26° NNE; verified
